"Time","Distance","Engine RPM","Throttle Pos","Brake Pos","Speed","Gear"
"s","m","rpm","%","%","m/s",""
"0.000","0","7773.93088","100.000000","0.000000","53.7440064","4"
"0.020","1","7841.52179","100.000000","0.000000","53.7904051","4"
"0.040","2","7842.90214","100.000000","0.000000","53.8550886","4"
"0.060","3","7755.57402","100.000000","0.000000","53.9296192","4"
"0.080","4","7715.30650","100.000000","0.000000","53.9953600","4"
"0.100","5","7761.82784","100.000000","0.000000","54.0470272","4"
"0.120","6","7808.00627","100.000000","0.000000","54.0969779","4"
"0.140","8","7811.39725","100.000000","0.000000","54.1533414","4"
"0.160","9","7806.28352","100.000000","0.000000","54.2113101","4"
"0.180","10","7826.57382","100.000000","0.000000","54.2647808","4"
"0.200","11","7867.01760","100.000000","0.000000","54.3167616","4"
"0.220","12","7868.61197","100.000000","0.000000","54.3758285","4"
"0.240","13","7837.62112","100.000000","0.000000","54.4384691","4"
"0.260","14","7828.85555","100.000000","0.000000","54.4983616","4"
"0.280","15","7855.22125","100.000000","0.000000","54.5494387","4"
"0.300","16","7912.08704","100.000000","0.000000","54.5925120","4"
"0.320","17","7966.58982","100.000000","0.000000","54.6390093","4"
"0.340","18","7944.44966","100.000000","0.000000","54.7024922","4"
"0.360","20","7867.51834","100.000000","0.000000","54.7705946","4"
"0.380","21","7846.10778","100.000000","0.000000","54.8300762","4"
"0.400","22","7894.52032","100.000000","0.000000","54.8778432","4"
"0.420","23","7938.14746","100.000000","0.000000","54.9252864","4"
"0.440","24","7813.73837","100.000000","0.000000","54.9769114","4"
"0.460","25","7450.27200","100.000000","0.000000","55.0015987","4"
"0.480","26","7197.27437","100.000000","0.000000","54.9729088","0"
"0.500","27","6882.43904","100.000000","0.000000","54.9474304","5"
"0.520","28","6710.79501","100.000000","0.000000","54.9825741","5"
"0.540","29","6694.98726","100.000000","0.000000","55.0336179","5"
"0.560","31","6642.54515","100.000000","0.000000","55.0953728","5"
"0.580","32","6669.43974","100.000000","0.000000","55.1470362","5"
"0.600","33","6712.28544","100.000000","0.000000","55.1935552","5"
"0.620","34","6688.29376","100.000000","0.000000","55.2570675","5"
"0.640","35","6640.39360","100.000000","0.000000","55.3171200","5"
"0.660","36","6675.52998","100.000000","0.000000","55.3641946","5"
"0.680","37","6735.32774","100.000000","0.000000","55.4104922","5"
